Date and Time,snr,rssi
30/10/2023 10:57:17,6.8,-85
30/10/2023 10:58:09,6.5,-85
30/10/2023 10:58:30,11.2,-91
30/10/2023 10:58:40,7.5,-87
30/10/2023 10:59:02,-3.5,-81
30/10/2023 10:59:13,9.2,-85
30/10/2023 10:59:24,9.5,-87
30/10/2023 10:59:36,10,-88
30/10/2023 10:59:47,7.5,-83
30/10/2023 10:59:58,9.2,-89
30/10/2023 11:00:09,7.2,-93
30/10/2023 11:00:31,8.8,-87
30/10/2023 11:00:53,10.8,-84
30/10/2023 11:01:15,9.2,-87
30/10/2023 11:01:26,9.5,-84
30/10/2023 11:01:37,7,-86
30/10/2023 11:01:48,9.8,-87
30/10/2023 11:02:10,5.8,-84
30/10/2023 11:02:21,11,-87
30/10/2023 11:02:54,9.8,-86
30/10/2023 11:03:05,8.5,-85
30/10/2023 11:03:16,8.8,-85
30/10/2023 11:03:27,8,-84
30/10/2023 11:03:38,9.8,-84
30/10/2023 11:03:49,9.2,-85
30/10/2023 11:04:00,9.2,-82
30/10/2023 11:04:11,9.5,-87
30/10/2023 11:04:33,7,-85
30/10/2023 11:04:44,11,-87
30/10/2023 11:05:06,9.2,-84
30/10/2023 11:05:17,11,-84
30/10/2023 11:05:28,7.2,-83
