Date and Time,snr,rssi,média
30/10/2023 11:31:01,4,-102,
30/10/2023 11:31:10,5.2,-103,
30/10/2023 11:31:21,0.2,-108,
30/10/2023 11:31:32,1,-109,
30/10/2023 11:31:43,-2.8,-108,
30/10/2023 11:32:05,5.2,-105,
30/10/2023 11:32:27,8,-107,
30/10/2023 11:32:49,5.8,-102,
30/10/2023 11:33:11,5.5,-107,
30/10/2023 11:33:22,2,-103,
30/10/2023 11:33:33,-5.2,-113,
30/10/2023 11:33:44,0.5,-102,
30/10/2023 11:33:55,5.5,-108,
30/10/2023 11:34:06,3.2,-108,
30/10/2023 11:35:01,0.5,-111,
30/10/2023 11:35:12,1.8,-107,
30/10/2023 11:35:23,3.8,-109,
30/10/2023 11:36:08,-0.5,-111,
30/10/2023 11:36:19,5.5,-106,
30/10/2023 11:37:14,3.5,-111,
30/10/2023 11:37:25,-3,-107,"-104,5"
