"Date and Time","snr","rssi"
30/10/2023 12:15:47,"8.2",-97
30/10/2023 12:15:56,"5.8",-105
30/10/2023 12:16:18,8,-102
30/10/2023 12:17:02,"4.5",-100
30/10/2023 12:17:13,"9.5",-97
30/10/2023 12:17:35,"7.5",-105
30/10/2023 12:18:41,"10.8",-101
30/10/2023 12:18:52,"6.5",-103
30/10/2023 12:19:04,"8.2",-101
30/10/2023 12:19:37,"7.2",-105
30/10/2023 12:19:48,8,-100
30/10/2023 12:19:59,-1,-100
30/10/2023 12:20:10,"0.5",-102
30/10/2023 12:20:32,"10.5",-101
30/10/2023 12:21:16,9,-101
30/10/2023 12:22:00,"3.2",-100
30/10/2023 12:22:11,"9.2",-101
30/10/2023 12:22:22,"1.5",-101
30/10/2023 12:22:33,"0.2",-99
30/10/2023 12:22:44,"10.5",-97
30/10/2023 12:22:55,"3.5",-103
30/10/2023 12:23:17,"7.8",-103
