Date and Time,snr,rssi
30/10/2023 11:14:38 am,-2,-113
30/10/2023 11:14:49 am,-4,-102
30/10/2023 11:15:00 am,-6.8,-115
30/10/2023 11:15:44 am,-8.2,-111
30/10/2023 11:15:55 am,-5.2,-113
30/10/2023 11:16:06 am,-2.2,-113
30/10/2023 11:16:17 am,-2.8,-106
30/10/2023 11:16:28 am,5,-102
30/10/2023 11:17:00 am,,-114
30/10/2023 11:17:22 am,-3.8,-111
30/10/2023 11:17:44 am,7.2,-109
30/10/2023 11:18:17 am,1.8,-109
30/10/2023 11:19:01 am,7.8,-109
30/10/2023 11:19:45 am,8.5,-107
30/10/2023 11:19:56 am,-2.8,-111
30/10/2023 11:20:18 am,9,-107
30/10/2023 11:20:29 am,6.2,-105
30/10/2023 11:21:13 am,6.8,-108
30/10/2023 11:22:08 am,-5.2,-111
30/10/2023 11:22:19 am,6.5,-107
30/10/2023 11:22:30 am,6.2,-109
30/10/2023 11:22:52 am,-1,-107
